1.7541785340658776e-07;4.6479747573119312e-07;3.8504184216717198e-07;2.2254492167800812e-07;1.2086930434520442e-06;0;2.1167647941003193e-07;2.2209051751088172e-07;2.835496444711084e-07;2.835496444711084e-07;1.5814924572353762e-07;1.4762587395661679e-07;7.6239303539458978e-08
3.0474111369783487e-08;2.0893161510667741e-07;6.565913079525626e-10;4.7170369633672192e-09;5.1901703668980236e-10;0;2.2093549870481581e-09;2.0716182925674383e-09;3.3009718053379529e-10;3.3009718053379529e-10;1.8960621051188633e-09;8.7234737339761825e-09;9.4090000344211109e-11
1.3830737226056137e-16;9.8566925211938092e-14;1.1658864542872e-15;2.2404196591574762e-09;5.0219143665215408e-10;0;7.3304966790115208e-09;5.3045262713414394e-10;1.4200809266284198e-09;1.4200809266284198e-09;2.2758827583137945e-09;2.0964437405721026e-10;5.055609050719048e-10
2.4460898067802571e-19;3.2710771497442528e-13;8.2803709707215552e-17;5.3378187470990635e-12;3.1852790777975881e-10;0;3.2760209684330272e-11;2.0340712103928685e-10;5.1740762517370611e-10;5.1740762517370611e-10;1.7654715857356252e-09;5.9230460285524056e-10;4.71446706247074e-10
2.946227434848667e-16;1.9849986079711948e-12;1.9101770939120831e-08;2.8203251163061047e-09;3.1678625725208955e-08;0;7.7427269904079169e-09;1.6486722004929435e-08;1.3359921872953454e-08;1.3359921872953454e-08;6.6002419641183912e-09;6.9195775584143693e-09;6.379691619656106e-09
2.2992169998110474e-17;3.5805454735865147e-14;2.2969723029115817e-18;1.4196306571036968e-09;1.4029339890772247e-11;0;1.179890477688092e-09;1.4291912686650318e-09;3.7912276789170071e-09;3.7912276789170071e-09;3.9112982252037592e-09;1.2828849919300132e-10;1.9871501252930078e-09
4.2454606994437596e-19;5.1982772060918649e-13;1.952119112030058e-14;3.862855830314859e-11;4.2601367976737203e-09;0;1.6121390261467413e-10;3.1404222235157465e-10;5.0185699189966907e-10;5.0185699189966907e-10;2.166597424862578e-09;6.2268127929388839e-11;2.6155371680613444e-10
2.7814077029405538e-08;1.2186659518321114e-07;8.7613602518962295e-08;2.7253713388334208e-07;1.800649522381744e-08;0;2.6644342852628973e-08;1.0077163386001248e-08;2.918466346693505e-09;2.918466346693505e-09;1.9520892723981313e-08;9.4842128616837292e-10;2.1870594134819648e-09
1.0584095520132792e-14;2.7260870469606078e-10;6.2512066401608858e-12;1.417366693819616e-08;2.2351107979121125e-08;0;7.6145493289565369e-09;4.0142817361377161e-09;3.5737050180002505e-09;3.5737050180002505e-09;1.2596133157706085e-08;2.7435566153901799e-08;1.6089169639059328e-09
6.5681645704833933e-09;3.3539407069986514e-09;1.8365147994714283e-10;1.1906340910997047e-08;1.1896426008538662e-07;0;1.818701942166907e-08;1.1063540333404934e-08;1.4810927216617618e-08;1.4810927216617618e-08;1.8444420765091077e-08;5.6527436913587986e-09;3.8791341193362039e-09
2.410159015460537e-13;3.150332639605508e-09;7.8830231709279174e-08;9.0812530587515614e-08;5.1033883765930791e-08;0;9.3366101999569578e-09;2.2875818684465369e-08;3.3592454814383784e-08;3.3592454814383784e-08;8.2594954629755654e-08;1.6859516948813897e-08;1.24109125091738e-08
5.7089808680780353e-18;1.3119598974397873e-11;1.9238856630539465e-11;6.972271155124512e-09;8.2049052562354067e-08;0;2.7747558587169168e-08;1.1398641396616444e-08;4.3826815624663813e-08;4.3826815624663813e-08;1.8363834787204411e-08;4.0206308973760658e-08;5.6451695712194415e-09
8.3336031514448771e-12;5.9178023678850175e-13;1.9118505406754738e-12;9.8302113996722369e-09;1.3887467565571258e-08;0;2.9050435137307004e-08;1.2831196858181963e-08;5.2065068963518981e-08;5.2065068963518981e-08;1.8198020495953211e-08;1.0414925616097421e-08;5.3572625991446528e-09
2.1670611843552548e-14;1.3912648273175112e-10;1.255056169818559e-11;1.3404321766158819e-08;1.5090874421692364e-08;0;4.7483480593249459e-08;8.9240695473633924e-09;2.3993490117512453e-08;2.3993490117512453e-08;2.1588581392953567e-08;1.8668680355007788e-08;3.3371783980876107e-09
5.6041365947825741e-12;1.9110516222858573e-08;5.1577605895607465e-08;9.3461819311725937e-08;2.5636989767439081e-07;0;4.0811436916891395e-08;1.3984327260762078e-07;2.363116161294127e-07;2.363116161294127e-07;4.8027849524780394e-08;1.1961461690161862e-08;1.2078428085289602e-07
3.9966729287996936e-14;2.7560586499941048e-09;2.6543337734143467e-09;1.3526985267505352e-08;5.8829888632837607e-07;0;1.2762423083984925e-07;4.5079745952143263e-08;5.9093598727079659e-08;5.9093598727079659e-08;4.7333551347524765e-08;5.5847600442771556e-09;1.4795264232460701e-08
