Economic Table;Corporations;Government;Households;RestOfWorld
Trade_Balance;0;0;0;59.6
GOS_byAgent;475.4;83.4;186.3;0
NetCompWages_byAgent;0;0;907.4;0
InsuranceContrib_byAgent;0;409.2;0;0
Production_Tax_byAgent;0;60.9;0;0
Energ_Tax_byAgent;0;20.5;0;0
Carbon_Tax_byAgent;0;30.2;0;0
OtherIndirTax_byAgent;0;41.9;0;0
VA_Tax_byAgent;0;166.8;0;0
Property_income;-28.8;-27.5;80.2;-23.9
Unemployment_transfers;0;-38.7;38.7;0
Pensions;0;-351;351;0
Other_social_transfers;0;-122.2;122.2;0
ClimPolicyCompens;0;-30.2;30.2;0
Other_Transfers;-111.3;71.4;30.6;9.3
Income_Tax;0;216.5;-216.5;0
Corporate_Tax;-53.7;53.7;0;0
Other_Direct_Tax;0;24.1;-24.1;0
Disposable_Income;281.7;608.9;1506;45
FC_byAgent;0;604.5;1296.3;0
GFCF_byAgent;326.6;82.4;131.7;0
Tot_FC_byAgent;326.6;686.9;1427.9;0
NetLending;-45;-78;78;45
NetFinancialDebt;2133.1;1720.4;-3588;-265.6
;;;;
Units;1000000 k€;;;
