CompT%;pY;Y vol;pM;M vol;C vol;G vol;I vol;X vol;Ener Cost Share;Trade Intens;Import Penet Rate
Crude_oil;0;-8.3281748;0;-8.3281748;Nan;Nan;Nan;0;-0.9118770;0.0058984;0.0058219
Natural_gas;0;-4.4000987;0;-4.4000987;-4.995991;Nan;Nan;0;-0.0015731;0.3271690;0.2016412
Coal;0;-7.9092266;0;-7.9092266;-4.995991;Nan;Nan;0;120.34627;0.1974230;0.1116095
AllFuels;0;-3.5234179;0;-3.5234179;-4.995991;Nan;Nan;0;1.7933776;1.3880663;1.0407779
Electricity;0;-3.9468132;0;-3.9468132;-4.995991;Nan;Nan;0;5.0207628;2.8643847;0.3513326
HeatGeoSol_Th;0;-4.1516227;0;-51.638208;-4.995991;Nan;Nan;Nan;14.36827;-99.961219;-99.961219
Heavy_Industry;0;1.0232315;0;1.0232315;1.6176498;0.0218039;5.8860534;-1.110e-14;1.6259153;-0.5043114;-0.6714671
Buildings_constr;0;5.8857895;0;-37.796604;Nan;Nan;5.8860534;Nan;0.0424436;-99.997418;-99.997418
Work_constr;0;4.9235782;0;-39.053028;1.6176498;Nan;5.8860534;Nan;0.0798400;-99.999416;-99.999416
Automobile;0;1.5427097;0;1.5427097;1.6176498;Nan;5.8860534;-4.441e-14;0.0570415;-0.7095307;-0.9432426
Load_PipeTransp;0;1.3044773;0;1.3044773;1.2818465;-0.3087259;Nan;0;4.1804393;-0.3492739;-0.0126204
PassTransp;0;1.6176498;0;1.6176498;1.6176498;Nan;Nan;Nan;1.0724099;-7.883e-13;-8.216e-13
Agri_Food_industry;0;1.3386346;0;1.3386346;1.6176498;0.0218039;5.8860534;0;0.684754;-0.6803419;-0.2791901
Property_business;0;1.6347799;0;-44.149359;1.6176498;0.0218039;5.8860534;Nan;0.0111380;-99.999972;-99.999972
OthSectors;0;1.462688;0;1.462688;1.5954781;-0.0000196;5.8629504;-0.0302860;0.0575637;-0.7048009;-0.1587748
