Economic Table;Corporations;Government;Households;RestOfWorld
Trade_Balance;0;0;0; 9.6
GOS_byAgent;-0.8;-0.8;-0.8;0
NetCompWages_byAgent;0;0; 1.8;0
InsuranceContrib_byAgent;0; 1.8;0;0
Production_Tax_byAgent;0; 1.5;0;0
Energ_Tax_byAgent;0;-4.8;0;0
Carbon_Tax_byAgent;0; 1.359e+25;0;0
OtherIndirTax_byAgent;0; 1.5;0;0
VA_Tax_byAgent;0; 2.8;0;0
Property_income;0;0;0;0
Unemployment_transfers;0;-24.7;-24.7;0
Pensions;0;0;0;0
Other_social_transfers;0;0;0;0
ClimPolicyCompens;0;-1.359e+25; 1.359e+25;0
Other_Transfers; 2.3; 2.3; 2.3; 2.3
Income_Tax;0;0;0;0
Corporate_Tax;-6.6;-6.6;0;0
Other_Direct_Tax;0;-4.5;-4.5;0
Disposable_Income;-2; 4.4; 2.2; 13.7
FC_byAgent;0;0; 2.2;0
GFCF_byAgent; 9.1;0; 2.2;0
Tot_FC_byAgent; 9.1;0; 2.2;0
NetLending; 273.8;-24.8; 2.2; 13.7
NetFinancialDebt;0;0;0;0
;;;;
Units;0.01 k€;;;
