2050;Coal;CrudeOil;NaturalGas;FossilFuels;BioFuels;Electricity;PlantedForest;Cattle;RestAgri;Cement;IronSteel;NonFerrousMetals;Chemical;FoodBeve;PaperPulp;RestIndus;FreightTransp;PassTransp;Comp;C;G;I;X;Tot_uses;Y;M
Coal;0;0;0;0;0;28.9998546;0;0;0;252.3901278;19298.24913;1483.284913;208.2886187;82.47980502;173.828962;515.571229;0;0;0;0;0;0;0;22043.09264;679.4034063;21363.62569
CrudeOil;0;0;0;127444.6782;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;165046.2718;292490.95;274888.947;17602.00301
NaturalGas;0;30391.06895;8954.479409;7863.005585;796.5260858;4298.814276;0;0;0;8.328232145;4595.715401;823.1616859;2940.022783;1430.666814;1587.878822;6173.674619;0;1422.009882;16.76263936;590.0603621;0;0;0;71892.17554;71877.7062;14.03736667
FossilFuels;0;1718.384358;480.7156607;3823.835762;0;0;147.8319127;401.3207938;2347.042284;6030.007967;1678.351118;2446.452594;4011.473677;1050.934521;997.2403714;3135.312228;39647.73362;20277.80032;55.79575404;27178.448;0;0;19936.17558;135364.8565;121046.6917;14317.68632
BioFuels;0;0;0;768.2592671;2681.647445;5348.282283;256.0118457;694.9979561;4064.552885;328.0060272;5129.480971;18.31068157;92.60845085;3729.312563;29411.84073;5348.341949;8524.568038;5337.798244;120.5294016;28368.76646;0;0;0;100223.3152;99504.11512;0
Electricity;0;1288.767838;360.53103;509.7996501;1057.399274;15347.00221;299.9614517;814.3083977;4762.315512;1092.267817;4066.305572;3630.185463;2734.804218;3820.825274;3673.579056;9431.802578;128.1764406;3187.190158;14359.98546;25036.73944;0;0;0;95601.94684;95461.29521;140.7499034
PlantedForest;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;424327.3044;0
Cattle;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11615.98271;0
RestAgri;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;871216.9701;0
Cement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;127315.0174;0
IronSteel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;89456.476;0
NonFerrousMetals;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25144.76204;0
Chemical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;401097.3027;0
FoodBeve;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1402811.546;0
PaperPulp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;78294.93182;0
RestIndus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3238727.301;0
FreightTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;538244.906;0
PassTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;332741.6313;0
Comp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10636251.96;0
1 ktoe / ktons;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
