2045;Coal;CrudeOil;NaturalGas;FossilFuels;BioFuels;Electricity;PlantedForest;Cattle;RestAgri;Cement;IronSteel;NonFerrousMetals;Chemical;FoodBeve;PaperPulp;RestIndus;FreightTransp;PassTransp;Comp;C;G;I;X;Tot_uses;Y;M
Coal;0;0;0;0;0;28.99953417;0;0;0;240.9507166;18149.73022;1430.527509;200.8704455;78.60560686;159.3459276;489.3582849;0;0;0;0;0;0;0;20778.38825;642.7103241;20135.67792
CrudeOil;0;0.3;0;124115;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;152834;276949.3;259347;17602.3
NaturalGas;0;27843.95904;7676.922545;7009.321647;775.7001823;2981.00809;0;0;0;7.950840475;4281.893581;793.8954087;2835.3708;1363.465976;1455.24583;5773.791207;0;1525.05433;23.70403416;649.1753049;0;0;0;64996.45882;64996.45868;0
FossilFuels;0;1640.113136;434.687712;3724.488012;0;0;165.8180095;450.1478335;2632.597203;5756.229532;1577.685607;2359.473774;3868.63095;1001.570154;913.9471575;2949.032701;37337.76509;18915.50271;106.0096784;26582.30253;0;0;18550.82431;128966.8261;117737.6884;11229.13767
BioFuels;0;0;0;308.75;2484.10929;2820.500772;259.9795741;705.7691886;4127.546227;854.358692;4733.486946;17.65963572;200.6141805;3570.556275;25466.89566;4995.168479;8066.728897;5102.123308;138.5704592;26976.15072;0;0;0;90828.96831;90828.96831;0
Electricity;61.20007437;1230.006795;325.9950961;496.200603;1042.801267;14556.61259;281.5681646;764.3759544;4470.295867;1038.011744;3702.737218;3501.13028;2637.465112;3641.365688;3366.741042;8826.239284;67.28890358;1731.570682;14191.42116;23788.89424;0;0;0;89721.92175;89579.44937;142.4498269
PlantedForest;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;392550.0113;0
Cattle;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11057.36506;0
RestAgri;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;763674.3108;0
Cement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;120990.6855;0
IronSteel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;83984.64771;0
NonFerrousMetals;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23754.65087;0
Chemical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;383291.0307;0
FoodBeve;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1321619.587;0
PaperPulp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71265.28228;0
RestIndus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2982968.589;0
FreightTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;481654.4488;0
PassTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;296302.7576;0
Comp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9579508.397;0
1 ktoe / ktons;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
