2030;Coal;CrudeOil;NaturalGas;FossilFuels;BioFuels;Electricity;PlantedForest;Cattle;RestAgri;Cement;IronSteel;NonFerrousMetals;Chemical;FoodBeve;PaperPulp;RestIndus;FreightTransp;PassTransp;Comp;C;G;I;X;Tot_uses;Y;M
Coal;0.19999979;0;0;0;0;3094.949462;0;0;0;194.5506643;14457.36403;1185.803783;174.9946318;65.38031069;113.5371625;401.9423827;0;0;0;0;0;0;0;19688.72243;2312.037754;17376.68467
CrudeOil;0;0.1;0;113350.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;183759.2;297110.2;279508;17602.2
NaturalGas;0;27290.56609;6411.598492;6336.231463;708.3757226;5643.067852;0;0;0;6.419744273;3324.737708;658.0823343;2470.125405;1133.967138;1035.638107;4422.920387;0;2170.802214;69.93794192;762.9751963;0;0;0;62445.4458;62445.44542;0
FossilFuels;0;1820.699506;415.400961;3400.605916;0;0;211.6319728;574.5194647;3359.959159;4646.719798;1254.06302;1955.834755;3370.300666;832.9867707;650.4174269;2322.787286;31628.9899;14097.2373;392.9095998;24967.1607;0;0;14989.61269;110891.8369;107875.8427;3015.994153
BioFuels;0;0;0;275.7;1957.50227;2515.499889;236.4854616;641.9894828;3754.54371;689.7581445;3564.895859;14.63856644;174.7713754;2969.554176;14253.62966;3777.121784;4948.992601;3369.958533;174.7478031;22041.79851;0;0;0;65361.58783;65361.58783;0
Electricity;48.80003903;1365.545792;311.5555492;453.3003625;758.8006069;12057.82983;204.8309636;556.0566959;3251.983445;826.7901029;2820.872059;2902.182322;2297.710675;3028.446724;2395.967101;6821.646768;5.123209528;299.689203;13020.2392;17803.92605;0;0;0;71231.2967;69923.38944;1307.948954
PlantedForest;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;321923.4459;0
Cattle;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9329.550839;0
RestAgri;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;510422.8518;0
Cement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;96370.72366;0
IronSteel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66567.86542;0
NonFerrousMetals;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19288.02422;0
Chemical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;324859.2451;0
FoodBeve;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1061854.026;0
PaperPulp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49684.84219;0
RestIndus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2190277.565;0
FreightTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;332157.7787;0
PassTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200041.1165;0
Comp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6891299.429;0
1 ktoe / ktons;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
