2023;Coal;COilFFuelExDies;NaturalGas;Allbiofuel;Diesel;Electricity;PlantedForest;Cattle;RestAgri;Cement;IronSteel;NonFerrousMetals;Chemical;BovineMeat;RestFoodBeve;PaperPulp;RestIndus;Transp;RestComp;C;G;I;X;Tot_uses;Y;M
Coal;0;0;0;0;0;3975.3;0;0;0;122.2629815;13659.84661;1073.404397;69.89883638;4.36257611;20.22879517;49.75250428;286.1134915;0;0;0;0;0;0;19261.1702;3072.006971;16189.16322
COilFFuelExDies;0;53639.13767;0.0007474;0;39911.17844;1619.894889;2.233370143;6.062952595;35.45793372;3455.783295;323.2234211;2179.132087;2881.271832;78.50677209;364.0274398;423.3896353;1883.87416;8055.038972;778.3172554;28417.90158;0;0;126714.7733;270769.2057;243393.3903;27375.8154
NaturalGas;0;16690.83298;3404.558671;0;1615.461831;6061.639075;0;0;0;1.768037242;513.1998302;282.2314676;887.3453625;64.16830265;297.5415026;367.0258963;1870.704991;660.4566951;83.39162117;277.6126415;0;0;0;33077.9389;28564.6819;4513.257
Allbiofuel;0;0;0;1856.735915;0;2515.171474;201.7386551;547.6619746;3202.88864;302.335424;3244.112925;13.65774486;66.39626063;422.4706526;1958.950877;10235.61144;3354.213356;5192.049398;175.5389873;16152.48849;0;0;0;49442.02222;49442.02222;0
Diesel;0;0;0;0;0;0;333.5451236;905.4783324;5295.504161;54.7192212;37.4534933;10.20418406;17.97571304;42.42842223;196.7360204;199.214846;584.028558;39489.72573;31.48397216;0;0;0;0;47198.49778;35839.77051;11358.72727
Electricity;0;1396.789285;0.000221837;689.4949071;149.724215;11672.15452;148.4078986;402.8844288;2356.186882;567.7650932;2470.503451;2815.757804;1898.385089;444.8223699;2062.593381;2252.354705;6749.585338;224.6604413;13962.71142;14315.92242;0;0;0;64580.70387;62661.25524;1919.448629
PlantedForest;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;296856.935;0
Cattle;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9367.985704;0
RestAgri;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;396428.5163;0
Cement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66454.73325;0
IronSteel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57463.71777;0
NonFerrousMetals;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23273.70715;0
Chemical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;273714.7435;0
BovineMeat;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12913.40577;0
RestFoodBeve;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1026379.326;0
PaperPulp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39101.039;0
RestIndus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1896324.228;0
Transp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;510754.6511;0
RestComp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6458723.344;0
1 ktoe / ktons;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
