2024;Coal;COilFFuelExDies;NaturalGas;Allbiofuel;Diesel;Electricity;PlantedForest;Cattle;RestAgri;Cement;IronSteel;NonFerrousMetals;Chemical;BovineMeat;RestFoodBeve;PaperPulp;RestIndus;Transp;RestComp;C;G;I;X;Tot_uses;Y;M
Coal;0;0;0;0;0;3979.2;0;0;0;125.071388;13901.11992;1113.295924;70.15468017;4.405361399;20.42718594;50.67718287;295.2171945;0;0;0;0;0;0;19559.56883;3079.911531;16479.6573
COilFFuelExDies;0;53826.43834;0.002419307;0;40392.18731;1620.733766;2.253849051;6.118546895;35.78306557;3531.016678;337.2446447;2260.410096;2892.452484;79.2994792;367.7031372;431.4154866;1927.976067;8217.183315;797.0130167;29269.90834;0;0;139283.6577;285278.7977;256565.9646;28712.83306
NaturalGas;0;16990.96023;3355.51119;0;1623.32743;6216.081999;0;0;0;1.807938999;521.3913492;292.5885079;890.328203;64.77874198;300.3720439;373.7662958;1907.032892;646.1317041;94.14340057;285.5312783;0;0;0;33563.75321;28842.17078;4721.58243
Allbiofuel;0;0;0;1891.99177;0;2541.757407;206.9659247;561.8524965;3285.878995;306.3274107;3322.896783;14.1649112;66.64361289;426.6563965;1978.359721;10415.06017;3405.243141;5283.38618;176.78402;16366.74713;0;0;0;50250.71607;50250.71607;0
Diesel;0;0;0;0;0;0;340.0397845;923.1094543;5398.616158;56.04991698;38.47806681;10.5967531;18.06700959;42.90535916;198.9475256;203.2206474;602.5238947;40035.32938;30.42037453;0;0;0;0;47898.30433;36256.20327;11642.10105
Electricity;0;1459.957482;0.000837663;719.350551;151.4822889;11842.01392;154.6102499;419.7220147;2454.658047;580.8652238;2541.189519;2920.528512;1905.706805;449.2756709;2083.242858;2294.851236;6903.780206;231.5840495;14492.14303;14902.40973;0;0;0;66507.37222;64663.12715;1844.24507
PlantedForest;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;306356.3569;0
Cattle;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9667.761246;0
RestAgri;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;409114.2289;0
Cement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;67983.19211;0
IronSteel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58405.57542;0
NonFerrousMetals;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24137.96565;0
Chemical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;274750.7631;0
BovineMeat;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13041.75463;0
RestFoodBeve;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1036580.711;0
PaperPulp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39391.85076;0
RestIndus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1910428.031;0
Transp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;520086.7896;0
RestComp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6665402.491;0
1 ktoe / ktons;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
