2028;Coal;COilFFuelExDies;NaturalGas;Allbiofuel;Diesel;Electricity;PlantedForest;Cattle;RestAgri;Cement;IronSteel;NonFerrousMetals;Chemical;BovineMeat;RestFoodBeve;PaperPulp;RestIndus;Transp;RestComp;C;G;I;X;Tot_uses;Y;M
Coal;0;0;0;0;0;3632.3;0;0;0;136.8621176;14904.90664;1287.92715;71.07766563;4.573678221;21.2076529;54.28973363;334.514239;0;0;0;0;0;0;20447.65887;2706.406858;17741.25202
COilFFuelExDies;0;71274.50199;1433.909237;0;53104.56384;1387.831736;2.113256124;5.736877848;33.5509525;1843.807325;234.9837162;2013.524437;3573.898608;66.83058321;309.8862106;418.7049012;1307.190096;8307.420484;794.3893582;30997.67962;0;0;191600.3445;368710.8677;345221.3528;23489.51487
NaturalGas;0;25515.49829;7937.18741;0;1633.31072;7883.536988;0;0;0;2.091478478;587.7237754;357.5730298;954.728926;71.18369234;330.0711083;423.9234399;2180.091769;578.6219689;161.7930678;335.5925487;0;0;0;48952.92821;48952.92821;0
Allbiofuel;0;0;0;2049.031468;0;3531.905953;229.2862619;622.4457423;3640.246156;323.227127;3666.061993;16.38835703;67.63972887;443.8007063;2057.856037;11132.59638;3618.089136;5800.843347;182.0925159;16991.75452;0;0;0;54373.26543;54373.26543;0
Diesel;0;0;0;0;0;0;368.4092267;1000.124267;5849.021482;61.8892839;43.10783075;12.36093045;18.49213615;45.00185341;208.6687434;220.001672;684.8046604;44209.8072;28.51067785;0;0;0;0;52750.19997;48680.12312;4070.07685
Electricity;0;1952.433641;0.000810264;807.0253843;209.3391241;12497.84405;182.1734468;494.5481052;2892.263078;636.5372986;2854.199765;3381.020424;1935.819626;467.6702638;2168.536602;2465.589008;7562.292784;257.8476359;16823.97574;17503.57994;0;0;0;75092.69672;73588.14378;1504.55294
PlantedForest;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;347492.7;0
Cattle;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10965.91072;0
RestAgri;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;464048.5004;0
Cement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;74456.75207;0
IronSteel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62329.93206;0
NonFerrousMetals;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27928.07892;0
Chemical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;278934.1995;0
BovineMeat;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13568.03436;0
RestFoodBeve;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1078410.314;0
PaperPulp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40576.8882;0
RestIndus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1967900.039;0
Transp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;575756.8477;0
RestComp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7560406.879;0
1 ktoe / ktons;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
